date,open,high,low,close,volume,vwap
2019-10-02,28.5,28.85,28.030001,28.309999,43640700.0,28.39667
2019-10-03,28.280001,28.780001,27.43,28.68,56325200.0,28.29667
2019-10-04,28.83,29.059999,28.280001,29.01,34446700.0,28.78333
2019-10-07,28.9,29.629999,28.84,28.93,39337200.0,29.13333
2019-10-08,28.549999,28.639999,27.92,28.23,44265700.0,28.26333
2019-10-09,28.799999,28.950001,28.35,28.459999,35661500.0,28.58667
2019-10-10,28.52,28.889999,28.0,28.379999,40660100.0,28.42333
2019-10-11,28.83,30.200001,28.809999,29.75,66256900.0,29.58667
2019-10-14,29.709999,30.610001,29.379999,30.530001,44473700.0,30.17333
2019-10-15,30.700001,30.92,30.17,30.719999,41600700.0,30.60333
2019-10-16,30.6,31.41,30.530001,30.809999,42804400.0,30.91667
2019-10-17,31.299999,31.4,30.860001,31.139999,36884400.0,31.13333
2019-10-18,31.059999,31.33,30.290001,30.969999,39681700.0,30.86333
2019-10-21,31.5,32.259998,31.41,32.029999,52182800.0,31.9
2019-10-22,32.060001,32.150002,31.5,31.51,36185200.0,31.72
2019-10-23,31.09,31.65,30.83,31.360001,26582200.0,31.28
2019-10-24,31.58,31.860001,31.34,31.719999,27808000.0,31.64
2019-10-25,31.9,32.860001,31.83,32.709999,45368800.0,32.46667
2019-10-28,33.16,33.91,33.150002,33.689999,51223600.0,33.58333
2019-10-29,33.73,33.900002,32.700001,33.029999,78700100.0,33.21
2019-10-30,32.93,33.34,32.029999,33.130001,78228800.0,32.83333
2019-10-31,32.98,34.34,32.82,33.93,67881600.0,33.69667
2019-11-01,34.369999,35.0,34.099998,34.889999,64238600.0,34.66333
2019-11-04,35.189999,36.450001,34.759998,36.290001,83343800.0,35.83333
2019-11-05,36.560001,37.18,35.98,36.150002,84848600.0,36.43667
2019-11-06,36.060001,36.48,35.52,35.93,51675100.0,35.97667
2019-11-07,36.52,36.990002,36.029999,36.279999,54350200.0,36.43333
2019-11-08,36.060001,36.580002,36.0,36.290001,39353900.0,36.29
2019-11-11,35.959999,36.66,35.580002,36.310001,43511100.0,36.18333
2019-11-12,36.43,37.130001,36.400002,36.709999,58664500.0,36.74667
2019-11-13,36.650002,37.959999,36.580002,37.52,67648300.0,37.35333
2019-11-14,37.509998,38.5,37.360001,38.349998,65829500.0,38.07
2019-11-15,38.939999,39.369999,38.34,38.560001,62958500.0,38.75667
2019-11-18,38.650002,39.990002,38.599998,39.880001,66102800.0,39.49
2019-11-19,40.139999,41.790001,39.689999,41.290001,94373000.0,40.92333
2019-11-20,40.959999,41.75,40.07,40.98,79767900.0,40.93333
2019-11-21,40.419998,40.709999,38.639999,39.52,88069400.0,39.62333
2019-11-22,39.360001,39.889999,38.189999,39.150002,56931900.0,39.07667
2019-11-25,39.5,40.169998,39.490002,39.790001,45769500.0,39.81667
2019-11-26,39.299999,39.48,38.810001,38.990002,43603300.0,39.09333
2019-11-27,39.459999,39.759998,39.07,39.41,33630100.0,39.41333
2019-11-29,39.099998,39.52,39.02,39.150002,17609900.0,39.23
2019-12-02,39.32,39.41,38.439999,38.73,35710200.0,38.86
2019-12-03,37.34,38.93,37.150002,38.900002,51556400.0,38.32667
2019-12-04,39.380001,39.82,39.130001,39.689999,44299400.0,39.54667
2019-12-05,39.950001,40.220001,39.549999,39.619999,35574000.0,39.79667
2019-12-06,40.099998,40.189999,39.560001,39.630001,31101400.0,39.79333
2019-12-09,39.459999,39.84,38.91,38.93,27928100.0,39.22667
2019-12-10,39.200001,39.73,38.82,39.439999,33733600.0,39.33
2019-12-11,39.439999,39.610001,39.040001,39.470001,31698300.0,39.37333
2019-12-12,39.400002,42.619999,39.25,42.59,86878000.0,41.48667
2019-12-13,42.349998,42.950001,41.060001,41.150002,79927800.0,41.72
2019-12-16,41.73,42.98,41.73,42.349998,58824900.0,42.35333
2019-12-17,42.509998,43.110001,42.150002,42.77,44852000.0,42.67667
2019-12-18,42.790001,43.060001,42.240002,42.299999,39083300.0,42.53333
2019-12-19,42.630001,43.34,42.599998,42.830002,45883000.0,42.92333
2019-12-20,43.439999,44.259998,43.259998,44.150002,68104700.0,43.89
2019-12-23,44.580002,45.630001,44.389999,45.459999,55886500.0,45.16
2019-12-24,46.099998,46.610001,45.77,46.540001,44432200.0,46.30667
2019-12-26,46.990002,47.310001,45.66,46.630001,57562800.0,46.53333
2019-12-27,46.849998,46.880001,45.98,46.18,36581300.0,46.34667
2019-12-30,46.139999,46.169998,44.66,45.52,41149700.0,45.45
2019-12-31,45.07,46.09,44.919998,45.860001,31673200.0,45.62333
2020-01-02,46.860001,49.25,46.630001,49.099998,80331100.0,48.32667
2020-01-03,48.029999,49.389999,47.540001,48.599998,73127400.0,48.51
2020-01-06,48.02,48.860001,47.860001,48.389999,47934900.0,48.37
2020-01-07,49.349998,49.389999,48.040001,48.25,58061400.0,48.56
2020-01-08,47.849998,48.299999,47.139999,47.830002,53767000.0,47.75667
2020-01-09,48.939999,49.959999,48.389999,48.970001,76512800.0,49.10667
2020-01-10,49.259998,49.290001,48.0,48.169998,44133700.0,48.48667
2020-01-13,48.66,48.860001,48.240002,48.75,34266800.0,48.61667
2020-01-14,48.639999,49.040001,47.91,48.209999,38563200.0,48.38667
2020-01-15,48.23,49.080002,48.119999,48.549999,40199900.0,48.58333
2020-01-16,49.169998,50.310001,48.990002,49.77,58898900.0,49.69
2020-01-17,50.200001,51.049999,49.900002,50.93,57722500.0,50.62667
2020-01-21,50.959999,51.810001,50.700001,51.049999,49095000.0,51.18667
2020-01-22,51.630001,51.880001,51.200001,51.43,40772200.0,51.50333
2020-01-23,51.34,51.75,50.740002,51.709999,40135400.0,51.4
2020-01-24,52.279999,52.810001,49.470001,50.349998,80004900.0,50.87667
2020-01-27,48.450001,49.790001,47.900002,49.259998,48878600.0,48.98333
2020-01-28,50.029999,50.849998,49.48,50.529999,62343800.0,50.28667
2020-01-29,47.84,48.07,46.099998,47.509998,112349900.0,47.22667
2020-01-30,46.490002,48.810001,46.130001,48.779999,70460200.0,47.90667
